,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,datetime,temp,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex
1,2012-05-18T00:00:00,9.5,6.1,78.85,0.0,0.0,,0.0,0.0,15.0,67.0,1010.0,87.8,,,
2,2012-05-18T01:00:00,9.4,6.2,80.73,0.0,0.0,,0.0,0.0,15.6,70.0,1009.0,67.5,,,
3,2012-05-18T02:00:00,9.1,6.0,80.91,0.0,0.0,,0.0,0.0,15.7,58.0,1007.9,74.2,,,
4,2012-05-18T03:00:00,8.7,6.6,86.49,0.0,0.0,,0.0,0.0,16.9,52.0,1006.9,88.1,,,
5,2012-05-18T04:00:00,8.6,7.3,91.47,0.0,0.0,,0.0,0.0,16.2,49.0,1006.0,77.6,,,
6,2012-05-18T05:00:00,8.6,7.0,89.66,0.0,0.0,,0.0,0.0,16.2,50.0,1005.1,77.5,,,
7,2012-05-18T06:00:00,9.2,7.2,87.37,0.0,,,0.0,0.0,17.4,58.0,1004.8,72.5,,,
8,2012-05-18T07:00:00,10.0,8.0,87.22,,0.0,,0.0,0.0,16.3,54.0,1004.7,85.2,,,
9,2012-05-18T08:00:00,11.1,8.3,83.02,0.0,0.0,,0.0,0.0,17.0,68.0,1004.2,64.9,,,
10,2012-05-18T09:00:00,12.7,8.5,75.64,0.0,0.0,,0.0,0.0,18.9,70.0,1004.1,59.4,,,
11,2012-05-18T10:00:00,13.6,9.0,73.77,0.0,0.0,,0.0,0.0,18.9,71.0,1004.0,90.0,,,
12,2012-05-18T11:00:00,14.4,9.2,70.98,0.0,0.0,,0.0,0.0,18.8,73.0,1003.8,94.3,,,
13,2012-05-18T12:00:00,15.1,9.2,67.73,0.0,0.0,,0.0,0.0,18.3,79.0,1003.4,74.9,,,
14,2012-05-18T13:00:00,15.4,8.4,62.77,0.0,0.0,,0.0,0.0,18.2,92.0,1003.7,65.3,,,
15,2012-05-18T14:00:00,15.2,9.0,66.36,0.0,0.0,,0.0,0.0,15.8,97.0,1003.8,84.2,,,
16,2012-05-18T15:00:00,15.4,8.6,63.8,0.0,0.0,,,0.0,16.0,114.0,1003.9,62.1,,,
17,2012-05-18T16:00:00,14.6,9.2,69.69,0.0,0.0,,0.0,0.0,17.1,135.0,1004.0,78.3,,,
18,2012-05-18T17:00:00,13.5,9.4,76.28,0.0,0.0,,0.0,0.0,13.7,138.0,1004.2,79.4,,,
19,2012-05-18T18:00:00,13.7,10.6,81.33,0.0,0.0,,0.0,0.0,10.2,140.0,1004.2,80.3,,,
20,2012-05-18T19:00:00,13.2,11.0,86.94,0.0,0.0,,0.0,0.0,7.2,164.0,1004.4,65.6,,,
21,2012-05-18T20:00:00,13.2,11.6,89.8,0.0,0.0,,0.0,0.0,9.2,156.0,1005.0,72.5,,,
22,2012-05-18T21:00:00,12.9,11.9,93.83,0.0,0.0,,0.0,0.0,10.3,159.0,1005.2,60.2,,,
23,2012-05-18T22:00:00,12.3,11.4,93.79,0.0,0.0,,0.0,0.0,13.2,177.0,1005.6,87.9,,,
24,2012-05-18T23:00:00,12.1,11.4,95.71,0.0,0.0,,0.0,0.0,12.8,172.0,1006.1,73.0,,,
25,2012-05-19T00:00:00,12.0,11.0,93.61,0.094,100.0,rain,0.0,0.0,11.9,179.0,1006.2,74.3,,,
26,2012-05-19T01:00:00,11.5,10.8,95.44,0.0,0.0,,0.0,0.0,9.5,173.0,1006.4,82.6,,,
27,2012-05-19T02:00:00,11.6,10.8,95.32,0.0,0.0,,0.0,0.0,11.4,184.0,1006.3,93.4,,,
28,2012-05-19T03:00:00,11.4,10.8,95.68,0.0,0.0,,0.0,0.0,11.9,193.0,1006.4,92.7,,,
29,2012-05-19T04:00:00,11.4,10.8,95.68,0.0,0.0,,0.0,0.0,11.6,198.0,1006.6,97.2,,,
30,2012-05-19T05:00:00,11.3,11.1,98.21,0.0,0.0,,0.0,0.0,11.1,201.0,1007.2,75.1,,,
31,2012-05-19T06:00:00,11.3,11.0,98.35,0.0,0.0,,0.0,0.0,14.0,210.0,1007.5,73.1,,,
32,2012-05-19T07:00:00,11.9,11.1,94.97,0.314,100.0,rain,0.0,0.0,15.3,218.0,1007.7,96.0,,,
33,2012-05-19T08:00:00,12.1,11.2,94.7,0.0,0.0,,0.0,0.0,13.8,218.0,1008.3,57.8,,,
34,2012-05-19T09:00:00,12.9,10.8,87.02,0.0,0.0,,0.0,0.0,16.8,234.0,1008.7,57.8,,,
35,2012-05-19T10:00:00,13.9,10.2,78.08,0.0,0.0,,0.0,0.0,15.5,232.0,1009.5,76.7,,,
36,2012-05-19T11:00:00,14.2,10.2,76.9,0.0,0.0,,0.0,0.0,14.2,233.0,1009.4,45.1,,,
37,2012-05-19T12:00:00,13.6,10.7,82.21,0.0,0.0,,0.0,0.0,10.1,294.0,1009.6,71.0,,,
38,2012-05-19T13:00:00,14.5,10.6,77.67,0.0,0.0,,0.0,0.0,13.0,285.0,1010.3,,,,
39,2012-05-19T14:00:00,14.6,10.0,73.6,0.0,0.0,,0.0,0.0,13.1,292.0,1010.2,92.9,,,
40,2012-05-19T15:00:00,15.2,10.0,71.13,0.0,0.0,,0.0,0.0,12.1,354.0,1010.3,68.4,,,
41,2012-05-19T16:00:00,15.2,10.7,74.62,0.0,0.0,,0.0,0.0,15.3,7.0,1010.3,40.8,,,
42,2012-05-19T17:00:00,14.4,9.9,74.55,0.0,0.0,,0.0,0.0,15.9,4.0,1010.4,52.5,,,
43,2012-05-19T18:00:00,13.5,10.2,80.46,0.0,0.0,,0.0,0.0,15.8,17.0,1010.7,45.6,,,
44,2012-05-19T19:00:00,12.1,9.3,83.5,0.0,0.0,,0.0,0.0,15.3,27.0,1010.9,71.0,,,
45,2012-05-19T20:00:00,10.9,8.8,87.3,0.0,0.0,,0.0,0.0,16.3,7.0,1011.1,75.4,,,
46,2012-05-19T21:00:00,10.0,8.3,89.55,0.0,0.0,,0.0,0.0,15.5,13.0,1012.0,78.0,,,
